GrantId,PersonID,Role,YearofBirth,CountryofBirth,HomeLanguage,DeptNo,FacultyNo,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C
15,8067.0,CHIEF_INVESTIGATOR,1960.0,Western Europe,Other,1998.0,19.0,Yes ,>5 to 10,0.0,2.0,0.0,0.0,0.0,0.0
15,80137.0,DELEGATED_RESEARCHER,1950.0,Australia,,2163.0,19.0,Yes ,more than 15,0.0,0.0,1.0,5.0,1.0,0.0
16.0,69482.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2883.0,25.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,2.0,2.0
17.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,2.0,7.0,0.0,8.0,4.0,0.0
18.0,26882.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,2.0,1.0,2.0
19.0,69517.0,PRINCIPAL_SUPERVISOR,1950.0,Australia,English,1258.0,34.0,Yes ,more than 15,0.0,0.0,6.0,4.0,6.0,32.0
19,66672.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,>10 to 15,2.0,0.0,0.0,0.0,0.0,0.0
20.0,592577.0,CHIEF_INVESTIGATOR,1975.0,,,2558.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
21.0,15282.0,CHIEF_INVESTIGATOR,1965.0,Australia,English,2713.0,25.0,Yes ,>5 to 10,1.0,1.0,1.0,1.0,2.0,0.0
22.0,25947.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1038.0,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0
23.0,9067.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,more than 15,3.0,3.0,6.0,12.0,2.0,2.0
23,65807.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2768.0,25.0,,more than 15,0.0,0.0,0.0,0.0,0.0,0.0
24.0,4902.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2053.0,19.0,Yes ,>5 to 10,1.0,0.0,1.0,3.0,4.0,1.0
24,127447.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2053.0,19.0,Yes ,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,78947.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2553.0,25.0,,Less than 0,1.0,1.0,0.0,3.0,3.0,1.0
25,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,2678.0,25.0,Yes ,more than 15,0.0,0.0,0.0,0.0,0.0,0.0
28.0,20927.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2578.0,25.0,Yes ,>5 to 10,0.0,1.0,0.0,2.0,2.0,0.0
29.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,2.0,7.0,0.0,8.0,4.0,0.0
30.0,3067.0,CHIEF_INVESTIGATOR,1950.0,,,,,,,0.0,0.0,3.0,3.0,1.0,0.0
30,51027.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
30,15987.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1623.0,13.0,Yes ,>5 to 10,0.0,0.0,1.0,3.0,2.0,2.0
30,43587.0,CHIEF_INVESTIGATOR,1960.0,North America,,1623.0,13.0,,,3.0,0.0,0.0,2.0,0.0,0.0
31.0,39817.0,CHIEF_INVESTIGATOR,1955.0,Australia,,653.0,7.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
32.0,69032.0,DELEGATED_RESEARCHER,1965.0,Australia,English,2538.0,25.0,Yes ,>=0 to 5,1.0,2.0,4.0,2.0,3.0,1.0
32,64842.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2538.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
33.0,69262.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,5.0,7.0,7.0
33,28502.0,CHIEF_INVESTIGATOR,1970.0,New Zealand,,2603.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
33,131432.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,0.0,0.0,4.0,5.0,6.0,0.0
33,35602.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,1.0,0.0,9.0,5.0,5.0,4.0
33,537.0,CHIEF_INVESTIGATOR,1965.0,Australia,,,25.0,Yes ,>10 to 15,2.0,0.0,9.0,9.0,13.0,2.0
33,76432.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,2653.0,25.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
34.0,4247.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2298.0,46.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
35.0,5287.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3123.0,31.0,Yes ,>=0 to 5,2.0,1.0,8.0,3.0,1.0,0.0
36.0,66887.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2813.0,25.0,,Less than 0,0.0,2.0,0.0,5.0,2.0,0.0
37.0,70662.0,CHIEF_INVESTIGATOR,1970.0,Australia,,3268.0,31.0,,Less than 0,1.0,1.0,0.0,3.0,0.0,0.0
38.0,69812.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>5 to 10,1.0,5.0,10.0,7.0,9.0,1.0
39.0,35382.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2103.0,19.0,,Less than 0,0.0,1.0,4.0,9.0,0.0,0.0
40.0,149767.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2828.0,25.0,,,1.0,2.0,0.0,0.0,0.0,0.0
41.0,63562.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2523.0,25.0,,Less than 0,1.0,1.0,0.0,2.0,5.0,2.0
42.0,71867.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2578.0,25.0,Yes ,>10 to 15,3.0,1.0,7.0,19.0,26.0,13.0
43.0,142457.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,,Less than 0,1.0,1.0,0.0,0.0,0.0,0.0
43,86672.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2713.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
43,8462.0,DELEGATED_RESEARCHER,1950.0,Australia,,2713.0,25.0,Yes ,>5 to 10,0.0,0.0,1.0,0.0,3.0,0.0
43,72037.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,Yes ,>5 to 10,1.0,3.0,4.0,3.0,5.0,0.0
43,78817.0,CHIEF_INVESTIGATOR,1950.0,Western Europe,,,25.0,Yes ,more than 15,2.0,0.0,4.0,8.0,6.0,2.0
44.0,74162.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2813.0,25.0,Yes ,>5 to 10,1.0,0.0,10.0,19.0,7.0,6.0
45.0,67647.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2678.0,25.0,Yes ,>5 to 10,1.0,6.0,9.0,8.0,8.0,4.0
46.0,63492.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2523.0,25.0,,Less than 0,0.0,1.0,1.0,0.0,9.0,4.0
47.0,26877.0,CHIEF_INVESTIGATOR,1935.0,Australia,,3123.0,31.0,,>5 to 10,0.0,0.0,0.0,2.0,4.0,1.0
47,80212.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3123.0,31.0,Yes ,more than 15,1.0,1.0,0.0,0.0,0.0,0.0
48.0,69812.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>5 to 10,1.0,5.0,10.0,7.0,9.0,1.0
48,119372.0,CHIEF_INVESTIGATOR,1970.0,Eastern Europe,Other,2813.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
49.0,491312.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2563.0,25.0,Yes ,>=0 to 5,0.0,3.0,0.0,0.0,0.0,0.0
50.0,66672.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1258.0,34.0,Yes ,>10 to 15,2.0,0.0,16.0,15.0,13.0,15.0
51.0,70662.0,CHIEF_INVESTIGATOR,1970.0,Australia,,3268.0,31.0,,Less than 0,1.0,1.0,0.0,3.0,0.0,0.0
52.0,30977.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,3028.0,31.0,,Less than 0,1.0,0.0,10.0,8.0,8.0,9.0
53.0,30457.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,,2558.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,2.0,1.0
54.0,79802.0,PRINCIPAL_SUPERVISOR,1950.0,Australia,,3028.0,31.0,Yes ,more than 15,1.0,0.0,1.0,8.0,9.0,5.0
55.0,10577.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,,>5 to 10,0.0,1.0,3.0,4.0,3.0,1.0
55,727732.0,CHIEF_INVESTIGATOR,1960.0,,,2603.0,25.0,,Less than 0,1.0,0.0,0.0,0.0,0.0,0.0
56.0,85642.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3258.0,31.0,Yes ,>=0 to 5,1.0,5.0,16.0,21.0,24.0,6.0
59.0,82377.0,CHIEF_INVESTIGATOR,1950.0,New Zealand,,2298.0,46.0,Yes ,more than 15,0.0,0.0,1.0,0.0,1.0,3.0
61.0,46237.0,CHIEF_INVESTIGATOR,1945.0,,,,,,,0.0,0.0,0.0,1.0,2.0,1.0
63.0,9227.0,CHIEF_INVESTIGATOR,1970.0,Australia,,1258.0,34.0,Yes ,>=0 to 5,0.0,3.0,0.0,2.0,3.0,3.0
63,10662.0,CHIEF_INVESTIGATOR,1955.0,Australia,English,1258.0,34.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
64.0,16137.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2653.0,25.0,,>5 to 10,1.0,5.0,4.0,3.0,1.0,0.0
66.0,15187.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3198.0,31.0,Yes ,>10 to 15,0.0,1.0,4.0,17.0,0.0,3.0
68.0,30017.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2893.0,25.0,,>=0 to 5,0.0,0.0,0.0,7.0,9.0,3.0
68,41202.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
68,30527.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,2.0,1.0,0.0,7.0,27.0,9.0
68,64347.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2893.0,25.0,,more than 15,0.0,1.0,4.0,13.0,19.0,14.0
69.0,1217.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,3028.0,31.0,Yes ,more than 15,2.0,0.0,16.0,13.0,8.0,0.0
70.0,489582.0,CHIEF_INVESTIGATOR,1975.0,Great Britain,,3048.0,31.0,Yes ,>=0 to 5,0.0,1.0,11.0,1.0,2.0,0.0
71.0,76352.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2523.0,25.0,Yes ,>10 to 15,1.0,0.0,4.0,4.0,0.0,0.0
71,649042.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,3.0,0.0,0.0,0.0,0.0,0.0
71,17367.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2523.0,25.0,Yes ,>=0 to 5,0.0,3.0,2.0,1.0,3.0,2.0
71,79192.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2523.0,25.0,Yes ,more than 15,1.0,2.0,31.0,35.0,14.0,2.0
72.0,81067.0,CHIEF_INVESTIGATOR,1940.0,Australia,,3508.0,4.0,,more than 15,1.0,1.0,1.0,5.0,0.0,2.0
73.0,74162.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2813.0,25.0,Yes ,>5 to 10,1.0,0.0,10.0,19.0,7.0,6.0
74.0,66657.0,PRINCIPAL_SUPERVISOR,1965.0,Australia,,2668.0,25.0,,Less than 0,0.0,0.0,10.0,4.0,2.0,0.0
75.0,66902.0,CHIEF_INVESTIGATOR,1945.0,Australia,,1033.0,1.0,,Less than 0,1.0,0.0,0.0,0.0,1.0,0.0
76.0,79057.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2603.0,25.0,,>5 to 10,1.0,0.0,2.0,2.0,1.0,0.0
76,44697.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2603.0,25.0,,>=0 to 5,2.0,0.0,0.0,0.0,0.0,0.0
77.0,22972.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2523.0,25.0,,Less than 0,0.0,1.0,0.0,2.0,1.0,3.0
78.0,4222.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2768.0,25.0,,>10 to 15,0.0,2.0,9.0,11.0,4.0,2.0
79.0,1797.0,CHIEF_INVESTIGATOR,1960.0,North America,,2678.0,25.0,Yes ,>5 to 10,2.0,7.0,0.0,8.0,4.0,0.0
80.0,85642.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3258.0,31.0,Yes ,>=0 to 5,1.0,5.0,16.0,21.0,24.0,6.0
81.0,5967.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2923.0,25.0,Yes ,>5 to 10,0.0,1.0,0.0,3.0,5.0,2.0
81,27307.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2923.0,25.0,,Less than 0,1.0,1.0,0.0,0.0,0.0,0.0
81,79652.0,CHIEF_INVESTIGATOR,1950.0,Asia Pacific,,2498.0,25.0,Yes ,more than 15,0.0,0.0,1.0,3.0,3.0,3.0
81,11667.0,DELEGATED_RESEARCHER,1950.0,Australia,,2548.0,25.0,,more than 15,0.0,0.0,6.0,14.0,12.0,2.0
82.0,76352.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2523.0,25.0,Yes ,>10 to 15,1.0,0.0,4.0,4.0,0.0,0.0
82,67842.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
83.0,74302.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2603.0,25.0,Yes ,>10 to 15,2.0,1.0,1.0,1.0,1.0,0.0
84.0,131257.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2923.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0
85.0,56387.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3268.0,31.0,Yes ,>=0 to 5,1.0,1.0,0.0,1.0,0.0,0.0
86.0,39632.0,CHIEF_INVESTIGATOR,1975.0,Great Britain,,2533.0,25.0,Yes ,>=0 to 5,0.0,2.0,0.0,0.0,1.0,3.0
87.0,85642.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3258.0,31.0,Yes ,>=0 to 5,1.0,5.0,16.0,21.0,24.0,6.0
88.0,8012.0,CHIEF_INVESTIGATOR,1960.0,Western Europe,,1098.0,1.0,Yes ,>5 to 10,1.0,1.0,0.0,0.0,0.0,1.0
89.0,71867.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2578.0,25.0,Yes ,>10 to 15,3.0,1.0,7.0,19.0,26.0,13.0
91.0,12957.0,CHIEF_INVESTIGATOR,1965.0,Great Britain,,2603.0,25.0,Yes ,>5 to 10,1.0,6.0,10.0,6.0,8.0,1.0
92.0,8772.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2763.0,25.0,,Less than 0,3.0,2.0,3.0,6.0,3.0,1.0
93.0,73017.0,CHIEF_INVESTIGATOR,1960.0,The Americas,,2103.0,19.0,Yes ,>10 to 15,0.0,2.0,4.0,1.0,3.0,3.0
94.0,125287.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2103.0,19.0,Yes ,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
95.0,497907.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2578.0,25.0,Yes ,Less than 0,0.0,0.0,3.0,1.0,1.0,0.0
95,44697.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2603.0,25.0,,>=0 to 5,2.0,0.0,0.0,0.0,0.0,0.0
96.0,1687.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2603.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,10.0,3.0,1.0
96,53202.0,CHIEF_INVESTIGATOR,1975.0,Australia,,3048.0,31.0,Yes ,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0
98.0,132232.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,1.0,0.0
98,6242.0,CHIEF_INVESTIGATOR,1955.0,Asia Pacific,Other,2548.0,25.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
98,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,2678.0,25.0,Yes ,more than 15,0.0,0.0,12.0,11.0,4.0,8.0
99.0,28682.0,CHIEF_INVESTIGATOR,1975.0,Australia,,828.0,7.0,Yes ,>=0 to 5,1.0,0.0,0.0,1.0,1.0,2.0
100.0,67622.0,CHIEF_INVESTIGATOR,1945.0,North America,,803.0,7.0,Yes ,more than 15,0.0,1.0,0.0,0.0,0.0,0.0
101.0,115417.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,Other,2253.0,19.0,Yes ,>=0 to 5,0.0,1.0,0.0,4.0,4.0,0.0
102.0,19362.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2893.0,25.0,,>=0 to 5,0.0,1.0,0.0,2.0,3.0,0.0
103.0,73737.0,CHIEF_INVESTIGATOR,1950.0,Australia,,828.0,7.0,,Less than 0,0.0,0.0,0.0,3.0,3.0,1.0
103,66957.0,CHIEF_INVESTIGATOR,1940.0,Australia,,2558.0,25.0,Yes ,more than 15,1.0,0.0,0.0,0.0,0.0,0.0
103,80677.0,CHIEF_INVESTIGATOR,1950.0,Australia,,828.0,7.0,,Less than 0,1.0,0.0,1.0,1.0,2.0,0.0
105.0,69952.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1578.0,13.0,Yes ,>10 to 15,0.0,0.0,2.0,8.0,6.0,0.0
105,5302.0,CHIEF_INVESTIGATOR,1970.0,Australia,,1578.0,13.0,Yes ,>5 to 10,1.0,0.0,0.0,0.0,0.0,0.0
105,34347.0,CHIEF_INVESTIGATOR,1970.0,Australia,,1578.0,13.0,Yes ,>=0 to 5,0.0,0.0,2.0,2.0,2.0,0.0
107.0,74932.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2668.0,25.0,Yes ,>10 to 15,0.0,0.0,2.0,3.0,6.0,0.0
108.0,26857.0,CHIEF_INVESTIGATOR,1965.0,Australia,,1033.0,1.0,,Less than 0,0.0,1.0,0.0,0.0,0.0,0.0
109.0,79427.0,PRINCIPAL_SUPERVISOR,1960.0,Australia,,2498.0,25.0,,Less than 0,0.0,1.0,1.0,1.0,1.0,3.0
109,130967.0,CHIEF_INVESTIGATOR,1975.0,Great Britain,,2538.0,25.0,,Less than 0,1.0,3.0,0.0,0.0,0.0,0.0
109,89627.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2653.0,25.0,Yes ,>=0 to 5,0.0,0.0,0.0,0.0,1.0,0.0
110.0,730092.0,CHIEF_INVESTIGATOR,1975.0,,,2653.0,25.0,,Less than 0,1.0,0.0,1.0,0.0,0.0,0.0
111.0,7947.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,3048.0,31.0,Yes ,>5 to 10,0.0,0.0,9.0,4.0,2.0,2.0
111,70272.0,CHIEF_INVESTIGATOR,1960.0,Australia,English,2053.0,19.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0
112.0,38697.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2778.0,25.0,,,0.0,1.0,3.0,3.0,0.0,0.0
114.0,34737.0,CHIEF_INVESTIGATOR,1970.0,North America,,2603.0,25.0,Yes ,Less than 0,1.0,5.0,1.0,6.0,6.0,1.0
115.0,27757.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>5 to 10,2.0,0.0,8.0,5.0,4.0,0.0
115,78342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0
115,17512.0,CHIEF_INVESTIGATOR,1940.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
115,74567.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2813.0,25.0,,>5 to 10,1.0,0.0,2.0,14.0,21.0,6.0
116.0,712.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,1678.0,13.0,Yes ,>=0 to 5,0.0,0.0,0.0,2.0,4.0,0.0
116,23697.0,CHIEF_INVESTIGATOR,1970.0,Asia Pacific,,1678.0,13.0,Yes ,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0
116,64162.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1578.0,13.0,Yes ,more than 15,1.0,0.0,0.0,6.0,3.0,1.0
117.0,726602.0,CHIEF_INVESTIGATOR,1970.0,,,2523.0,25.0,,Less than 0,1.0,0.0,0.0,0.0,0.0,0.0
118.0,80187.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3123.0,31.0,,Less than 0,0.0,1.0,2.0,6.0,9.0,2.0
119.0,84627.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2973.0,25.0,Yes ,>=0 to 5,0.0,1.0,8.0,5.0,0.0,3.0
119,72222.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2973.0,25.0,,>10 to 15,0.0,1.0,0.0,0.0,0.0,0.0
120.0,73882.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2713.0,25.0,,Less than 0,1.0,1.0,4.0,3.0,2.0,1.0
121.0,118747.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2713.0,25.0,,>=0 to 5,0.0,2.0,0.0,0.0,0.0,0.0
122.0,85642.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3258.0,31.0,Yes ,>=0 to 5,1.0,5.0,16.0,21.0,24.0,6.0
123.0,69262.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2653.0,25.0,Yes ,>10 to 15,1.0,0.0,7.0,5.0,7.0,7.0
124.0,80377.0,CHIEF_INVESTIGATOR,1945.0,Australia,,3258.0,31.0,Yes ,more than 15,3.0,1.0,4.0,4.0,6.0,1.0
124,64782.0,CHIEF_INVESTIGATOR,1945.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
125.0,18377.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2923.0,25.0,Yes ,>5 to 10,1.0,0.0,1.0,0.0,6.0,0.0
125,147722.0,CHIEF_INVESTIGATOR,1970.0,Great Britain,,2923.0,25.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0
125,57672.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
126.0,148087.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2653.0,25.0,,>=0 to 5,0.0,2.0,2.0,1.0,0.0,0.0
128.0,67282.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2578.0,25.0,Yes ,>5 to 10,0.0,2.0,4.0,3.0,4.0,3.0
128,19287.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2578.0,25.0,Yes ,>5 to 10,1.0,0.0,0.0,0.0,0.0,0.0
