GrantId,PersonID,Role,YearofBirth,WithPHD,NoofYearsinUniatTimeofGrant,NumberofSuccessfulGrant,NumberofUnsuccessfulGrant,A*,A,B,C,teamSize
15,80137,DELEGATED_RESEARCHER,1950,Yes,15,0,0,1,5,1,0,3
16,69482,CHIEF_INVESTIGATOR,1965,Yes,0,0,1,0,0,2,2,1
17,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
18,26882,CHIEF_INVESTIGATOR,1950,Yes,0,1,0,0,2,1,2,1
19,69517,PRINCIPAL_SUPERVISOR,1950,Yes,15,0,0,6,4,6,32,2
19,66672,CHIEF_INVESTIGATOR,1960,Yes,10,2,0,0,0,0,0,2
20,592577,CHIEF_INVESTIGATOR,1975,No,0,0,1,0,0,0,0,1
21,15282,CHIEF_INVESTIGATOR,1965,Yes,5,1,1,1,1,2,0,1
22,25947,CHIEF_INVESTIGATOR,1960,No,0,1,1,0,0,0,0,1
23,9067,CHIEF_INVESTIGATOR,1960,Yes,15,3,3,6,12,2,2,2
23,65807,CHIEF_INVESTIGATOR,1950,No,15,0,0,0,0,0,0,2
24,4902,CHIEF_INVESTIGATOR,1950,Yes,5,1,0,1,3,4,1,2
24,127447,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,0,0,0,0,2
25,78947,CHIEF_INVESTIGATOR,1960,No,0,1,1,0,3,3,1,2
25,82567,DELEGATED_RESEARCHER,1955,Yes,15,0,0,0,0,0,0,2
28,20927,CHIEF_INVESTIGATOR,1965,Yes,5,0,1,0,2,2,0,1
29,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
30,3067,CHIEF_INVESTIGATOR,1950,No,0,0,0,3,3,1,0,4
30,51027,CHIEF_INVESTIGATOR,1960,No,0,0,0,0,0,0,0,4
30,15987,CHIEF_INVESTIGATOR,1960,Yes,5,0,0,1,3,2,2,4
30,43587,CHIEF_INVESTIGATOR,1960,No,0,3,0,0,2,0,0,4
31,39817,CHIEF_INVESTIGATOR,1955,No,0,0,1,0,0,0,0,1
32,69032,DELEGATED_RESEARCHER,1965,Yes,0,1,2,4,2,3,1,2
32,64842,CHIEF_INVESTIGATOR,1960,Yes,0,0,0,0,0,0,0,2
33,69262,CHIEF_INVESTIGATOR,1960,Yes,10,1,0,7,5,7,7,6
33,28502,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,0,0,0,0,6
33,131432,CHIEF_INVESTIGATOR,1965,Yes,0,0,0,4,5,6,0,6
33,35602,CHIEF_INVESTIGATOR,1965,Yes,0,1,0,9,5,5,4,6
33,537,CHIEF_INVESTIGATOR,1965,Yes,10,2,0,9,9,13,2,6
33,76432,CHIEF_INVESTIGATOR,1960,No,0,0,0,0,0,0,0,6
34,4247,CHIEF_INVESTIGATOR,1950,No,0,0,1,0,0,0,0,1
35,5287,CHIEF_INVESTIGATOR,1960,Yes,0,2,1,8,3,1,0,1
36,66887,CHIEF_INVESTIGATOR,1955,No,0,0,2,0,5,2,0,1
37,70662,CHIEF_INVESTIGATOR,1970,No,0,1,1,0,3,0,0,1
38,69812,CHIEF_INVESTIGATOR,1960,No,5,1,5,10,7,9,1,1
39,35382,CHIEF_INVESTIGATOR,1970,No,0,0,1,4,9,0,0,1
40,149767,CHIEF_INVESTIGATOR,1975,No,0,1,2,0,0,0,0,1
41,63562,CHIEF_INVESTIGATOR,1940,No,0,1,1,0,2,5,2,1
42,71867,CHIEF_INVESTIGATOR,1945,Yes,10,3,1,7,19,26,13,1
43,142457,CHIEF_INVESTIGATOR,1970,No,0,1,1,0,0,0,0,5
43,86672,CHIEF_INVESTIGATOR,1975,Yes,0,1,0,0,0,0,0,5
43,8462,DELEGATED_RESEARCHER,1950,Yes,5,0,0,1,0,3,0,5
43,72037,CHIEF_INVESTIGATOR,1970,Yes,5,1,3,4,3,5,0,5
43,78817,CHIEF_INVESTIGATOR,1950,Yes,15,2,0,4,8,6,2,5
44,74162,CHIEF_INVESTIGATOR,1970,Yes,5,1,0,10,19,7,6,1
45,67647,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,9,8,8,4,1
46,63492,CHIEF_INVESTIGATOR,1945,No,0,0,1,1,0,9,4,1
47,26877,CHIEF_INVESTIGATOR,1935,No,5,0,0,0,2,4,1,2
47,80212,CHIEF_INVESTIGATOR,1945,Yes,15,1,1,0,0,0,0,2
48,69812,CHIEF_INVESTIGATOR,1960,No,5,1,5,10,7,9,1,2
48,119372,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,0,0,0,0,2
49,491312,CHIEF_INVESTIGATOR,1960,Yes,0,0,3,0,0,0,0,1
50,66672,CHIEF_INVESTIGATOR,1960,Yes,10,2,0,16,15,13,15,1
51,70662,CHIEF_INVESTIGATOR,1970,No,0,1,1,0,3,0,0,1
52,30977,CHIEF_INVESTIGATOR,1950,No,0,1,0,10,8,8,9,1
53,30457,CHIEF_INVESTIGATOR,1955,No,0,0,0,0,0,2,1,1
54,79802,PRINCIPAL_SUPERVISOR,1950,Yes,15,1,0,1,8,9,5,1
55,10577,CHIEF_INVESTIGATOR,1960,No,5,0,1,3,4,3,1,2
55,727732,CHIEF_INVESTIGATOR,1960,No,0,1,0,0,0,0,0,2
56,85642,CHIEF_INVESTIGATOR,1955,Yes,0,1,5,16,21,24,6,1
59,82377,CHIEF_INVESTIGATOR,1950,Yes,15,0,0,1,0,1,3,1
61,46237,CHIEF_INVESTIGATOR,1945,No,0,0,0,0,1,2,1,1
63,9227,CHIEF_INVESTIGATOR,1970,Yes,0,0,3,0,2,3,3,2
63,10662,CHIEF_INVESTIGATOR,1955,Yes,5,0,0,0,0,0,0,2
64,16137,CHIEF_INVESTIGATOR,1950,No,5,1,5,4,3,1,0,1
66,15187,CHIEF_INVESTIGATOR,1960,Yes,10,0,1,4,17,0,3,1
68,30017,CHIEF_INVESTIGATOR,1960,No,0,0,0,0,7,9,3,4
68,41202,CHIEF_INVESTIGATOR,1960,No,0,0,0,0,0,0,0,4
68,30527,CHIEF_INVESTIGATOR,1960,Yes,0,2,1,0,7,27,9,4
68,64347,CHIEF_INVESTIGATOR,1945,No,15,0,1,4,13,19,14,4
69,1217,CHIEF_INVESTIGATOR,1960,Yes,15,2,0,16,13,8,0,1
70,489582,CHIEF_INVESTIGATOR,1975,Yes,0,0,1,11,1,2,0,1
71,76352,CHIEF_INVESTIGATOR,1965,Yes,10,1,0,4,4,0,0,4
71,649042,CHIEF_INVESTIGATOR,1975,Yes,0,3,0,0,0,0,0,4
71,17367,CHIEF_INVESTIGATOR,1960,Yes,0,0,3,2,1,3,2,4
71,79192,CHIEF_INVESTIGATOR,1950,Yes,15,1,2,31,35,14,2,4
72,81067,CHIEF_INVESTIGATOR,1940,No,15,1,1,1,5,0,2,1
73,74162,CHIEF_INVESTIGATOR,1970,Yes,5,1,0,10,19,7,6,1
74,66657,PRINCIPAL_SUPERVISOR,1965,No,0,0,0,10,4,2,0,1
75,66902,CHIEF_INVESTIGATOR,1945,No,0,1,0,0,0,1,0,1
76,79057,CHIEF_INVESTIGATOR,1955,No,5,1,0,2,2,1,0,2
76,44697,CHIEF_INVESTIGATOR,1965,No,0,2,0,0,0,0,0,2
77,22972,CHIEF_INVESTIGATOR,1965,No,0,0,1,0,2,1,3,1
78,4222,CHIEF_INVESTIGATOR,1960,No,10,0,2,9,11,4,2,1
79,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
80,85642,CHIEF_INVESTIGATOR,1955,Yes,0,1,5,16,21,24,6,1
81,5967,CHIEF_INVESTIGATOR,1955,Yes,5,0,1,0,3,5,2,4
81,27307,CHIEF_INVESTIGATOR,1950,No,0,1,1,0,0,0,0,4
81,79652,CHIEF_INVESTIGATOR,1950,Yes,15,0,0,1,3,3,3,4
81,11667,DELEGATED_RESEARCHER,1950,No,15,0,0,6,14,12,2,4
82,76352,CHIEF_INVESTIGATOR,1965,Yes,10,1,0,4,4,0,0,2
82,67842,CHIEF_INVESTIGATOR,1965,Yes,0,0,0,0,0,0,0,2
83,74302,CHIEF_INVESTIGATOR,1960,Yes,10,2,1,1,1,1,0,1
84,131257,CHIEF_INVESTIGATOR,1980,No,0,0,1,0,0,0,0,1
85,56387,CHIEF_INVESTIGATOR,1960,Yes,0,1,1,0,1,0,0,1
86,39632,CHIEF_INVESTIGATOR,1975,Yes,0,0,2,0,0,1,3,1
87,85642,CHIEF_INVESTIGATOR,1955,Yes,0,1,5,16,21,24,6,1
88,8012,CHIEF_INVESTIGATOR,1960,Yes,5,1,1,0,0,0,1,1
89,71867,CHIEF_INVESTIGATOR,1945,Yes,10,3,1,7,19,26,13,1
91,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,1
92,8772,CHIEF_INVESTIGATOR,1965,No,0,3,2,3,6,3,1,1
93,73017,CHIEF_INVESTIGATOR,1960,Yes,10,0,2,4,1,3,3,1
94,125287,CHIEF_INVESTIGATOR,1945,Yes,0,0,2,0,0,0,0,1
95,497907,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,3,1,1,0,2
95,44697,CHIEF_INVESTIGATOR,1965,No,0,2,0,0,0,0,0,2
96,1687,CHIEF_INVESTIGATOR,1960,Yes,10,1,0,7,10,3,1,2
96,53202,CHIEF_INVESTIGATOR,1975,Yes,0,0,1,0,0,0,0,2
98,132232,CHIEF_INVESTIGATOR,1975,Yes,0,1,0,0,0,1,0,3
98,6242,CHIEF_INVESTIGATOR,1955,No,0,0,1,0,0,0,0,3
98,82567,DELEGATED_RESEARCHER,1955,Yes,15,0,0,12,11,4,8,3
99,28682,CHIEF_INVESTIGATOR,1975,Yes,0,1,0,0,1,1,2,1
100,67622,CHIEF_INVESTIGATOR,1945,Yes,15,0,1,0,0,0,0,1
101,115417,CHIEF_INVESTIGATOR,1965,Yes,0,0,1,0,4,4,0,1
102,19362,CHIEF_INVESTIGATOR,1955,No,0,0,1,0,2,3,0,1
103,73737,CHIEF_INVESTIGATOR,1950,No,0,0,0,0,3,3,1,3
103,66957,CHIEF_INVESTIGATOR,1940,Yes,15,1,0,0,0,0,0,3
103,80677,CHIEF_INVESTIGATOR,1950,No,0,1,0,1,1,2,0,3
105,69952,CHIEF_INVESTIGATOR,1960,Yes,10,0,0,2,8,6,0,3
105,5302,CHIEF_INVESTIGATOR,1970,Yes,5,1,0,0,0,0,0,3
105,34347,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,2,2,2,0,3
107,74932,CHIEF_INVESTIGATOR,1960,Yes,10,0,0,2,3,6,0,1
108,26857,CHIEF_INVESTIGATOR,1965,No,0,0,1,0,0,0,0,1
109,79427,PRINCIPAL_SUPERVISOR,1960,No,0,0,1,1,1,1,3,3
109,130967,CHIEF_INVESTIGATOR,1975,No,0,1,3,0,0,0,0,3
109,89627,CHIEF_INVESTIGATOR,1975,Yes,0,0,0,0,0,1,0,3
110,730092,CHIEF_INVESTIGATOR,1975,No,0,1,0,1,0,0,0,1
111,7947,CHIEF_INVESTIGATOR,1960,Yes,5,0,0,9,4,2,2,2
111,70272,CHIEF_INVESTIGATOR,1960,Yes,0,1,0,0,0,0,0,2
112,38697,CHIEF_INVESTIGATOR,1960,No,0,0,1,3,3,0,0,1
114,34737,CHIEF_INVESTIGATOR,1970,Yes,0,1,5,1,6,6,1,1
115,27757,CHIEF_INVESTIGATOR,1960,No,5,2,0,8,5,4,0,4
115,78342,CHIEF_INVESTIGATOR,1965,No,0,0,0,0,0,0,0,4
115,17512,CHIEF_INVESTIGATOR,1940,No,0,0,0,0,0,0,0,4
115,74567,CHIEF_INVESTIGATOR,1960,No,5,1,0,2,14,21,6,4
116,712,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,0,2,4,0,3
116,23697,CHIEF_INVESTIGATOR,1970,Yes,5,0,0,0,0,0,0,3
116,64162,CHIEF_INVESTIGATOR,1960,Yes,15,1,0,0,6,3,1,3
117,726602,CHIEF_INVESTIGATOR,1970,No,0,1,0,0,0,0,0,1
118,80187,CHIEF_INVESTIGATOR,1945,No,0,0,1,2,6,9,2,1
119,84627,CHIEF_INVESTIGATOR,1960,Yes,0,0,1,8,5,0,3,2
119,72222,CHIEF_INVESTIGATOR,1950,No,10,0,1,0,0,0,0,2
120,73882,CHIEF_INVESTIGATOR,1960,No,0,1,1,4,3,2,1,1
121,118747,CHIEF_INVESTIGATOR,1980,No,0,0,2,0,0,0,0,1
122,85642,CHIEF_INVESTIGATOR,1955,Yes,0,1,5,16,21,24,6,1
123,69262,CHIEF_INVESTIGATOR,1960,Yes,10,1,0,7,5,7,7,1
124,80377,CHIEF_INVESTIGATOR,1945,Yes,15,3,1,4,4,6,1,2
124,64782,CHIEF_INVESTIGATOR,1945,No,0,0,0,0,0,0,0,2
125,18377,CHIEF_INVESTIGATOR,1960,Yes,5,1,0,1,0,6,0,3
125,147722,CHIEF_INVESTIGATOR,1970,No,0,0,0,0,0,0,0,3
125,57672,CHIEF_INVESTIGATOR,1955,No,0,0,0,0,0,0,0,3
126,148087,CHIEF_INVESTIGATOR,1950,No,0,0,2,2,1,0,0,1
128,67282,CHIEF_INVESTIGATOR,1965,Yes,5,0,2,4,3,4,3,2
128,19287,CHIEF_INVESTIGATOR,1950,Yes,5,1,0,0,0,0,0,2
129,77112,CHIEF_INVESTIGATOR,1960,Yes,0,1,1,12,10,5,0,1
130,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,2
130,77162,CHIEF_INVESTIGATOR,1970,Yes,0,0,1,0,0,0,0,2
131,22792,CHIEF_INVESTIGATOR,1955,Yes,5,0,2,0,2,0,1,1
132,612,DELEGATED_RESEARCHER,1960,Yes,10,0,1,7,1,2,0,1
133,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,2
133,723252,CHIEF_INVESTIGATOR,1985,No,0,1,0,0,0,0,0,2
134,78752,CHIEF_INVESTIGATOR,1955,Yes,10,1,1,6,5,2,0,1
135,81067,CHIEF_INVESTIGATOR,1940,No,15,1,1,1,5,0,2,1
136,148087,CHIEF_INVESTIGATOR,1950,No,0,0,2,2,1,0,0,1
137,26107,CHIEF_INVESTIGATOR,1970,Yes,5,1,1,1,4,4,0,2
137,82547,CHIEF_INVESTIGATOR,1955,No,15,1,0,0,0,0,0,2
138,73017,CHIEF_INVESTIGATOR,1960,Yes,10,0,2,4,1,3,3,1
139,492057,CHIEF_INVESTIGATOR,1965,Yes,0,1,2,0,0,12,4,1
140,80502,CHIEF_INVESTIGATOR,1950,Yes,5,0,0,0,2,3,1,2
140,5232,CHIEF_INVESTIGATOR,1955,Yes,10,2,0,0,0,0,0,2
142,68512,CHIEF_INVESTIGATOR,1945,No,0,0,0,0,0,0,0,1
144,64277,CHIEF_INVESTIGATOR,1950,Yes,10,0,0,17,9,2,4,1
145,783297,CHIEF_INVESTIGATOR,1975,No,0,1,0,0,0,0,0,1
146,16332,CHIEF_INVESTIGATOR,1955,No,0,0,0,0,0,2,0,2
146,19922,CHIEF_INVESTIGATOR,1960,Yes,5,0,1,0,0,0,0,2
147,393152,CHIEF_INVESTIGATOR,1940,Yes,0,0,1,0,0,0,0,1
148,65712,CHIEF_INVESTIGATOR,1950,No,15,0,1,0,2,4,2,1
149,40947,CHIEF_INVESTIGATOR,1965,Yes,0,0,2,3,2,0,1,1
150,93802,CHIEF_INVESTIGATOR,1970,Yes,0,0,1,0,0,1,13,1
153,6712,CHIEF_INVESTIGATOR,1950,No,0,1,1,0,1,1,1,1
154,34177,CHIEF_INVESTIGATOR,1960,No,0,0,2,2,1,0,10,1
156,107667,CHIEF_INVESTIGATOR,1955,No,0,1,0,1,2,1,0,2
156,46237,CHIEF_INVESTIGATOR,1945,No,0,0,0,0,0,0,0,2
157,86302,CHIEF_INVESTIGATOR,1970,Yes,0,0,5,1,0,0,0,2
157,66322,PRINCIPAL_SUPERVISOR,1955,No,10,0,0,0,0,0,0,2
159,500137,CHIEF_INVESTIGATOR,1975,No,0,1,0,2,0,0,0,1
160,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
161,34737,CHIEF_INVESTIGATOR,1970,Yes,0,1,5,1,6,6,1,2
161,2022,CHIEF_INVESTIGATOR,1965,Yes,5,0,0,0,0,0,0,2
163,122392,CHIEF_INVESTIGATOR,1975,No,0,0,2,0,0,0,0,1
164,30772,CHIEF_INVESTIGATOR,1970,No,0,0,0,3,2,0,0,2
164,98222,CHIEF_INVESTIGATOR,1965,No,5,1,0,0,0,0,0,2
165,63962,CHIEF_INVESTIGATOR,1950,Yes,15,2,0,1,16,7,3,1
166,145057,CHIEF_INVESTIGATOR,1965,Yes,0,1,0,0,0,0,0,1
167,25947,CHIEF_INVESTIGATOR,1960,No,0,1,1,0,0,0,0,1
168,46377,CHIEF_INVESTIGATOR,1970,No,0,0,1,2,1,0,0,1
169,15162,CHIEF_INVESTIGATOR,1965,Yes,0,0,0,22,2,2,1,2
169,79977,CHIEF_INVESTIGATOR,1935,No,15,1,0,0,0,0,0,2
170,4702,CHIEF_INVESTIGATOR,1960,Yes,5,0,1,8,7,6,0,1
171,147722,CHIEF_INVESTIGATOR,1970,No,0,0,0,0,1,2,0,2
171,43352,CHIEF_INVESTIGATOR,1960,No,0,1,0,0,0,0,0,2
172,89472,CHIEF_INVESTIGATOR,1970,Yes,0,1,1,15,1,3,0,1
174,72317,CHIEF_INVESTIGATOR,1950,Yes,10,1,0,7,4,4,0,1
175,917,CHIEF_INVESTIGATOR,1960,No,0,1,1,1,1,1,0,1
176,71442,CHIEF_INVESTIGATOR,1965,Yes,0,1,1,0,1,3,1,1
177,67412,CHIEF_INVESTIGATOR,1960,Yes,10,0,2,0,1,0,0,1
178,78817,CHIEF_INVESTIGATOR,1950,Yes,15,2,0,4,8,6,2,1
179,4302,CHIEF_INVESTIGATOR,1965,Yes,10,1,1,2,7,6,3,2
179,107262,CHIEF_INVESTIGATOR,1970,No,0,0,0,0,0,0,0,2
180,500157,PRINCIPAL_SUPERVISOR,1970,Yes,0,0,0,9,0,1,0,1
181,1797,CHIEF_INVESTIGATOR,1960,Yes,5,2,7,0,8,4,0,1
184,77887,CHIEF_INVESTIGATOR,1965,Yes,0,0,1,0,1,0,0,1
185,20122,CHIEF_INVESTIGATOR,1965,Yes,0,0,1,0,7,2,1,2
185,113942,CHIEF_INVESTIGATOR,1965,Yes,0,1,0,0,0,0,0,2
186,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,1
187,86672,CHIEF_INVESTIGATOR,1975,Yes,0,1,0,0,0,0,0,5
187,127112,CHIEF_INVESTIGATOR,1975,No,0,0,0,0,0,0,0,5
187,72037,CHIEF_INVESTIGATOR,1970,Yes,5,1,3,4,3,5,0,5
187,78817,CHIEF_INVESTIGATOR,1950,Yes,15,2,0,4,8,6,2,5
187,65652,CHIEF_INVESTIGATOR,1955,No,10,0,0,13,2,0,1,5
188,68472,PRINCIPAL_SUPERVISOR,1955,No,0,0,1,0,7,7,0,1
189,9227,CHIEF_INVESTIGATOR,1970,Yes,0,0,3,0,2,3,3,1
190,28342,CHIEF_INVESTIGATOR,1960,Yes,0,1,0,0,3,5,0,1
192,74142,CHIEF_INVESTIGATOR,1970,Yes,5,0,3,1,0,4,0,1
194,67282,CHIEF_INVESTIGATOR,1965,Yes,5,0,2,4,3,4,3,1
196,55437,CHIEF_INVESTIGATOR,1940,Yes,0,0,4,4,0,1,1,1
197,79562,CHIEF_INVESTIGATOR,1955,Yes,15,1,0,0,0,2,12,1
199,84622,CHIEF_INVESTIGATOR,1955,No,0,0,3,8,6,1,2,2
199,36252,CHIEF_INVESTIGATOR,1960,Yes,0,0,4,0,0,0,0,2
201,17342,CHIEF_INVESTIGATOR,1960,Yes,0,0,7,2,13,13,3,1
202,26887,CHIEF_INVESTIGATOR,1970,Yes,0,2,0,2,4,2,1,1
203,649042,CHIEF_INVESTIGATOR,1975,Yes,0,3,0,0,0,0,0,1
204,8667,CHIEF_INVESTIGATOR,1965,Yes,5,0,1,0,4,0,0,1
205,99052,CHIEF_INVESTIGATOR,1970,Yes,0,1,0,7,1,2,0,1
206,67182,CHIEF_INVESTIGATOR,1940,No,0,0,1,0,2,2,1,1
207,135457,CHIEF_INVESTIGATOR,1975,No,0,0,0,0,0,9,1,4
207,141572,CHIEF_INVESTIGATOR,1975,No,0,0,0,0,0,0,0,4
207,80232,CHIEF_INVESTIGATOR,1960,Yes,15,0,0,5,6,28,3,4
207,72267,CHIEF_INVESTIGATOR,1960,Yes,10,3,0,5,10,11,5,4
209,44022,CHIEF_INVESTIGATOR,1965,No,0,1,3,0,0,2,0,1
210,69657,CHIEF_INVESTIGATOR,1955,Yes,15,2,3,0,2,9,3,1
212,15287,CHIEF_INVESTIGATOR,1970,Yes,0,1,1,1,7,4,0,1
214,813567,CHIEF_INVESTIGATOR,1970,Yes,0,1,0,1,1,1,1,1
215,145857,CHIEF_INVESTIGATOR,1965,No,0,1,0,1,3,1,1,1
216,43597,CHIEF_INVESTIGATOR,1965,No,0,0,1,5,13,5,4,1
217,24017,PRINCIPAL_SUPERVISOR,1970,Yes,5,1,1,6,2,2,0,1
218,77977,CHIEF_INVESTIGATOR,1965,No,0,0,0,0,9,1,0,7
218,17877,CHIEF_INVESTIGATOR,1965,No,0,0,0,0,0,0,0,7
218,66922,CHIEF_INVESTIGATOR,1965,Yes,5,0,0,4,6,3,0,7
218,76352,CHIEF_INVESTIGATOR,1965,Yes,10,1,0,4,4,0,0,7
218,15287,CHIEF_INVESTIGATOR,1970,Yes,0,1,1,1,7,4,0,7
218,79192,CHIEF_INVESTIGATOR,1950,Yes,15,1,2,0,0,0,0,7
218,497302,EXT_CHIEF_INVESTIGATOR,1965,Yes,0,0,0,0,0,0,0,7
219,9757,CHIEF_INVESTIGATOR,1960,Yes,5,0,0,8,5,2,1,1
220,34417,CHIEF_INVESTIGATOR,1970,Yes,0,0,0,5,6,1,0,4
220,32907,CHIEF_INVESTIGATOR,1965,Yes,0,0,0,0,0,0,0,4
220,146697,CHIEF_INVESTIGATOR,1965,Yes,0,1,0,3,3,4,6,4
220,67317,CHIEF_INVESTIGATOR,1950,No,15,0,0,0,10,19,0,4
221,85642,CHIEF_INVESTIGATOR,1955,Yes,0,1,5,16,21,24,6,1
222,14757,CHIEF_INVESTIGATOR,1975,No,0,0,0,3,3,2,1,3
222,57272,CHIEF_INVESTIGATOR,1975,Yes,0,1,0,0,0,0,0,3
222,6562,CHIEF_INVESTIGATOR,1955,No,0,0,0,26,7,11,4,3
223,79747,CHIEF_INVESTIGATOR,1940,No,0,0,1,0,3,8,4,1
226,74372,CHIEF_INVESTIGATOR,1955,No,0,0,0,5,17,7,2,4
226,46132,CHIEF_INVESTIGATOR,1975,Yes,0,2,3,0,0,0,0,4
226,99617,CHIEF_INVESTIGATOR,1980,No,0,0,0,0,0,0,0,4
226,68377,CHIEF_INVESTIGATOR,1955,Yes,15,0,0,7,8,2,4,4
227,67282,CHIEF_INVESTIGATOR,1965,Yes,5,0,2,4,3,4,3,1
228,73402,CHIEF_INVESTIGATOR,1965,Yes,5,0,1,3,8,1,0,1
229,73547,CHIEF_INVESTIGATOR,1940,No,0,0,2,4,10,4,6,2
229,134907,CHIEF_INVESTIGATOR,1975,Yes,0,0,1,0,0,0,0,2
230,641012,CHIEF_INVESTIGATOR,1975,No,0,0,0,0,0,0,0,2
230,21732,CHIEF_INVESTIGATOR,1965,Yes,5,0,0,0,0,0,0,2
231,8377,CHIEF_INVESTIGATOR,1955,Yes,5,1,0,3,3,0,1,2
231,74047,CHIEF_INVESTIGATOR,1960,Yes,10,1,1,0,0,0,0,2
232,27757,CHIEF_INVESTIGATOR,1960,No,5,2,0,8,5,4,0,2
232,44697,CHIEF_INVESTIGATOR,1965,No,0,2,0,0,0,0,0,2
233,67097,CHIEF_INVESTIGATOR,1960,Yes,10,1,0,0,2,0,0,1
236,117502,CHIEF_INVESTIGATOR,1975,Yes,0,0,1,0,0,0,0,1
237,5382,CHIEF_INVESTIGATOR,1965,No,0,1,0,3,4,3,0,1
238,491327,CHIEF_INVESTIGATOR,1965,Yes,0,0,2,0,5,0,0,1
239,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,1
240,4302,CHIEF_INVESTIGATOR,1965,Yes,10,1,1,2,7,6,3,1
241,74047,CHIEF_INVESTIGATOR,1960,Yes,10,1,1,1,2,0,1,1
242,74372,CHIEF_INVESTIGATOR,1955,No,0,0,0,5,17,7,2,2
242,10592,PRINCIPAL_SUPERVISOR,1960,Yes,5,2,2,0,0,0,0,2
243,65657,CHIEF_INVESTIGATOR,1955,No,0,0,0,2,0,2,0,3
243,39212,CHIEF_INVESTIGATOR,1960,No,0,0,0,0,0,0,0,3
243,3167,PRINCIPAL_SUPERVISOR,1950,Yes,0,1,0,0,4,2,0,3
244,73547,CHIEF_INVESTIGATOR,1940,No,0,0,2,4,10,4,6,2
244,134907,CHIEF_INVESTIGATOR,1975,Yes,0,0,1,0,0,0,0,2
245,89472,CHIEF_INVESTIGATOR,1970,Yes,0,1,1,15,1,3,0,1
246,80817,CHIEF_INVESTIGATOR,1945,No,0,0,0,2,0,1,0,1
247,12957,CHIEF_INVESTIGATOR,1965,Yes,5,1,6,10,6,8,1,1
