,GrantApplicationID,GrantStatus,SponsorCode,GrantCategoryCode,ContractValueBand,Startdate,RFCDCode1,RFCDPercentage1,RFCDCode2,RFCDPercentage2,RFCDCode3,RFCDPercentage3,RFCDCode4,RFCDPercentage4,RFCDCode5,RFCDPercentage5,SEOCode1,SEOPercentage1,SEOCode2,SEOPercentage2,SEOCode3,SEOPercentage3,SEOCode4,SEOPercentage4,SEOCode5,SEOPercentage5
19,20,0,Sponsor24D,GrantCat30B,ContractValueBandA ,19/11/05,380103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,1,Sponsor148D,GrantCat30B,ContractValueBandA ,19/11/05,270103.0,20.0,270106.0,40.0,321015.0,40.0,0.0,0.0,0.0,0.0,730108.0,40.0,730105.0,30.0,730115.0,30.0,0.0,0.0,0.0,0.0
21,22,0,Sponsor12D,GrantCat30B,ContractValueBandUnk,19/11/05,370107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,0,Sponsor62B,GrantCat10B,ContractValueBandUnk,19/11/05,321021.0,40.0,321204.0,30.0,320799.0,30.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,1,Sponsor2B,GrantCat10A,ContractValueBandD ,19/11/05,291801.0,60.0,291804.0,30.0,291802.0,10.0,0.0,0.0,0.0,0.0,671403.0,40.0,671402.0,30.0,671401.0,30.0,0.0,0.0,0.0,0.0
24,25,1,Sponsor138B,GrantCat30B,ContractValueBandUnk,19/11/05,330305.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740301.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,28,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,270299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,80.0,780105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
26,29,0,Sponsor60D,GrantCat30D,ContractValueBandUnk,19/11/05,270603.0,50.0,321004.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,30,1,Sponsor2B,GrantCat10A,ContractValueBandB ,19/11/05,350201.0,60.0,380108.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,720403.0,60.0,750101.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
28,31,0,Sponsor143C,GrantCat30B,ContractValueBandUnk,19/11/05,400303.0,80.0,400301.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,750802.0,80.0,750901.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
29,32,0,Sponsor60D,GrantCat30D,ContractValueBandH ,19/11/05,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,33,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,320702.0,20.0,321013.0,20.0,321020.0,20.0,321021.0,20.0,321204.0,20.0,670502.0,25.0,730104.0,25.0,730203.0,25.0,730211.0,25.0,0.0,0.0
31,34,0,Sponsor24D,GrantCat30B,ContractValueBandA ,19/11/05,330107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740201.0,40.0,740401.0,40.0,740102.0,20.0,0.0,0.0,0.0,0.0
32,35,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,260109.0,50.0,260602.0,40.0,260112.0,10.0,0.0,0.0,0.0,0.0,780104.0,60.0,770101.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
33,36,0,Sponsor148D,GrantCat30B,ContractValueBandA ,19/11/05,270104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,37,0,SponsorUnk,GrantCatUnk,ContractValueBandA ,19/11/05,270201.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,38,0,Sponsor90B,GrantCat30G,ContractValueBandUnk,19/11/05,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,39,0,Sponsor2B,GrantCat10A,ContractValueBandG ,19/11/05,300105.0,50.0,270703.0,30.0,291002.0,20.0,0.0,0.0,0.0,0.0,770802.0,50.0,770202.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
37,40,0,SponsorUnk,GrantCatUnk,ContractValueBandB ,19/11/05,321028.0,50.0,270108.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730114.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,41,0,Sponsor18B,GrantCat20C,ContractValueBandUnk,19/11/05,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,50.0,730399.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
39,42,0,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,320702.0,40.0,320703.0,40.0,270105.0,20.0,0.0,0.0,0.0,0.0,730000.0,40.0,730104.0,40.0,730213.0,20.0,0.0,0.0,0.0,0.0
40,43,1,Sponsor29A,GrantCat10B,ContractValueBandA ,19/11/05,321004.0,40.0,321003.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,40.0,730106.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
41,44,1,Sponsor136D,GrantCat30B,ContractValueBandUnk,19/11/05,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,45,0,Sponsor89A,GrantCat30B,ContractValueBandUnk,19/11/05,320602.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730107.0,50.0,730203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
43,46,0,SponsorUnk,GrantCatUnk,ContractValueBandA ,19/11/05,420303.0,50.0,370199.0,30.0,380105.0,20.0,0.0,0.0,0.0,0.0,730201.0,40.0,751004.0,40.0,730204.0,20.0,0.0,0.0,0.0,0.0
44,47,1,Sponsor2B,GrantCat10A,ContractValueBandE ,19/11/05,260602.0,60.0,260601.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,770103.0,50.0,770102.0,30.0,770101.0,20.0,0.0,0.0,0.0,0.0
45,48,0,Sponsor40D,GrantCat10B,ContractValueBandUnk,19/11/05,321003.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,49,0,Sponsor34B,GrantCat30C,ContractValueBandA ,19/11/05,321402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730217.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,50,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,300508.0,50.0,270201.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,51,1,Sponsor21A,GrantCat50A,ContractValueBandUnk,19/11/05,300403.0,60.0,270899.0,30.0,270604.0,10.0,0.0,0.0,0.0,0.0,630106.0,90.0,730216.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
49,52,1,Sponsor47C,GrantCat10B,ContractValueBandA ,19/11/05,270402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771102.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,53,0,Sponsor4D,GrantCat20C,ContractValueBandUnk,19/11/05,380107.0,65.0,321299.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,25.0,730211.0,65.0,730217.0,10.0,0.0,0.0,0.0,0.0
51,54,1,Sponsor36D,GrantCat10A,ContractValueBandUnk,19/11/05,270403.0,50.0,300204.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,620105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,55,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,56,1,Sponsor34B,GrantCat30C,ContractValueBandUnk,19/11/05,270708.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770603.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,57,0,Sponsor4D,GrantCat20C,ContractValueBandUnk,19/11/05,320700.0,50.0,321000.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730199.0,50.0,730118.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
55,59,0,Sponsor18B,GrantCat20A,ContractValueBandUnk,19/11/05,330103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749905.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,61,0,Sponsor172D,GrantCat30B,ContractValueBandUnk,19/11/05,270106.0,30.0,270201.0,50.0,270105.0,20.0,0.0,0.0,0.0,0.0,730108.0,80.0,730113.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
57,62,0,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,210000.0,50.0,270000.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,30.0,780105.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
58,63,0,Sponsor21A,GrantCat50A,ContractValueBandUnk,19/11/05,270105.0,33.0,300405.0,34.0,270205.0,33.0,0.0,0.0,0.0,0.0,630101.0,50.0,670101.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
59,64,0,SponsorUnk,GrantCatUnk,ContractValueBandC ,19/11/05,270108.0,70.0,321015.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,66,0,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,240204.0,40.0,299999.0,30.0,291702.0,30.0,0.0,0.0,0.0,0.0,671299.0,30.0,671399.0,40.0,700399.0,30.0,0.0,0.0,0.0,0.0
61,68,1,Sponsor63C,GrantCat20A,ContractValueBandB ,19/11/05,321206.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730213.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,69,1,Sponsor2B,GrantCat10A,ContractValueBandH ,19/11/05,320405.0,80.0,270199.0,10.0,270304.0,10.0,0.0,0.0,0.0,0.0,730101.0,80.0,780105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
63,70,0,Sponsor47C,GrantCat10B,ContractValueBandUnk,19/11/05,250200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,71,1,Sponsor74B,GrantCat30C,ContractValueBandUnk,19/11/05,321202.0,50.0,270203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730213.0,50.0,730110.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
65,72,0,SponsorUnk,GrantCatUnk,ContractValueBandB ,19/11/05,360299.0,60.0,310103.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,750699.0,60.0,760101.0,20.0,660403.0,20.0,0.0,0.0,0.0,0.0
66,73,1,Sponsor29A,GrantCat10B,ContractValueBandA ,19/11/05,321004.0,50.0,321012.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,74,0,Sponsor6B,GrantCat30B,ContractValueBandUnk,19/11/05,320502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,75,1,Sponsor170B,GrantCat30B,ContractValueBandUnk,19/11/05,300105.0,50.0,300399.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,770502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,76,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,270103.0,70.0,270199.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,77,0,Sponsor40D,GrantCat30B,ContractValueBandUnk,19/11/05,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730207.0,60.0,730218.0,20.0,730219.0,20.0,0.0,0.0,0.0,0.0
71,78,0,Sponsor24D,GrantCat30B,ContractValueBandA ,19/11/05,321021.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,79,0,Sponsor40D,GrantCat30B,ContractValueBandUnk,19/11/05,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,80,0,Sponsor166B,GrantCat10A,ContractValueBandUnk,19/11/05,279901.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,81,1,Sponsor29A,GrantCat10B,ContractValueBandA ,19/11/05,321004.0,60.0,321216.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,60.0,730207.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
75,82,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,321015.0,40.0,230204.0,30.0,321202.0,30.0,0.0,0.0,0.0,0.0,730108.0,40.0,730107.0,30.0,730213.0,30.0,0.0,0.0,0.0,0.0
76,83,1,Sponsor21A,GrantCat50A,ContractValueBandUnk,19/11/05,320305.0,50.0,321010.0,25.0,320402.0,25.0,0.0,0.0,0.0,0.0,730101.0,75.0,730212.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
77,84,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,321208.0,45.0,321204.0,30.0,321206.0,25.0,0.0,0.0,0.0,0.0,730211.0,45.0,730217.0,30.0,730306.0,25.0,0.0,0.0,0.0,0.0
78,85,0,Sponsor12D,GrantCat30B,ContractValueBandD ,19/11/05,290104.0,40.0,270899.0,30.0,329999.0,30.0,0.0,0.0,0.0,0.0,670105.0,60.0,670499.0,10.0,730113.0,30.0,0.0,0.0,0.0,0.0
79,86,0,Sponsor101A,GrantCat30G,ContractValueBandA ,19/11/05,321021.0,20.0,321204.0,40.0,380107.0,40.0,0.0,0.0,0.0,0.0,750101.0,40.0,740401.0,40.0,750305.0,20.0,0.0,0.0,0.0,0.0
80,87,0,Sponsor33A,GrantCat20C,ContractValueBandD ,19/11/05,300204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750704.0,70.0,620502.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
81,88,0,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,270804.0,40.0,300602.0,30.0,300699.0,30.0,0.0,0.0,0.0,0.0,780105.0,60.0,620303.0,30.0,620399.0,10.0,0.0,0.0,0.0,0.0
82,89,0,Sponsor24D,GrantCat30B,ContractValueBandUnk,19/11/05,321006.0,60.0,321013.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730113.0,60.0,730104.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
83,91,0,Sponsor164D,GrantCat10B,ContractValueBandUnk,19/11/05,320202.0,60.0,270199.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730102.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,92,0,Sponsor143C,GrantCat30B,ContractValueBandUnk,19/11/05,321204.0,10.0,321214.0,40.0,321216.0,50.0,0.0,0.0,0.0,0.0,730207.0,25.0,730219.0,35.0,730301.0,40.0,0.0,0.0,0.0,0.0
85,93,0,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,290801.0,60.0,291899.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,680202.0,50.0,680302.0,30.0,680402.0,20.0,0.0,0.0,0.0,0.0
86,94,0,Sponsor170B,GrantCat30B,ContractValueBandG ,19/11/05,291104.0,40.0,340201.0,40.0,300902.0,20.0,0.0,0.0,0.0,0.0,770502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,95,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,270199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,96,1,Sponsor4D,GrantCat10A,ContractValueBandF ,19/11/05,320302.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730101.0,50.0,670403.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
89,97,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,230204.0,50.0,321202.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,98,0,Sponsor40D,GrantCat10B,ContractValueBandUnk,19/11/05,270699.0,50.0,270299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730217.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,99,1,Sponsor2B,GrantCat10A,ContractValueBandF ,19/11/05,360101.0,60.0,400101.0,30.0,400104.0,10.0,0.0,0.0,0.0,0.0,750602.0,60.0,751004.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
92,100,0,SponsorUnk,GrantCatUnk,ContractValueBandA ,19/11/05,380103.0,35.0,370302.0,35.0,321022.0,30.0,0.0,0.0,0.0,0.0,780107.0,50.0,780108.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
93,101,0,Sponsor59C,GrantCat10A,ContractValueBandUnk,19/11/05,280100.0,40.0,291000.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,700103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,102,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,321005.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730116.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,103,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,390301.0,50.0,390302.0,30.0,390304.0,20.0,0.0,0.0,0.0,0.0,750503.0,80.0,730219.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
96,104,0,Sponsor75C,GrantCat10B,ContractValueBandUnk,19/11/05,320899.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730214.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,105,1,Sponsor2B,GrantCat10A,ContractValueBandE ,19/11/05,350301.0,50.0,350302.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,710401.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,106,0,Sponsor161A,GrantCat30B,ContractValueBandUnk,19/11/05,321006.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,107,1,Sponsor40D,GrantCat30B,ContractValueBandB ,19/11/05,320503.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,108,0,Sponsor157A,GrantCat30B,ContractValueBandUnk,19/11/05,300399.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770503.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,109,0,Sponsor62B,GrantCat10B,ContractValueBandUnk,19/11/05,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,80.0,730211.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
102,110,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,270106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,111,1,Sponsor21A,GrantCat50A,ContractValueBandUnk,19/11/05,290102.0,50.0,240501.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,670105.0,50.0,670106.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
104,112,0,SponsorUnk,GrantCatUnk,ContractValueBandUnk,19/11/05,270103.0,25.0,270105.0,25.0,320702.0,50.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,113,0,Sponsor40D,GrantCat10B,ContractValueBandUnk,19/11/05,321003.0,50.0,321004.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,50.0,730106.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
106,114,0,Sponsor143C,GrantCat30B,ContractValueBandUnk,19/11/05,270208.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,115,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,321015.0,80.0,329903.0,10.0,320503.0,10.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,116,1,Sponsor2B,GrantCat10A,ContractValueBandUnk,19/11/05,340207.0,60.0,340210.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,720299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,117,1,Sponsor4D,GrantCat10A,ContractValueBandUnk,19/11/05,321202.0,50.0,321206.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730299.0,40.0,730212.0,30.0,730307.0,10.0,730213.0,10.0,730101.0,10.0
