"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
48	"RFCD321003"	100	"SEO730106"	100	69812	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	1	5	10	7	9	1
49	"RFCD321402"	100	"SEO730217"	100	491312	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration0to5"	0	3	0	0	0	0
50	"RFCD300508"	50	"SEO780105"	100	66672	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration10to15"	2	0	16	15	13	15
51	"RFCD300403"	60	"SEO630106"	90	70662	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3268"	"Faculty31"	""	"DurationLT0"	1	1	0	3	0	0
52	"RFCD270402"	100	"SEO771102"	100	30977	"CHIEF_INVESTIGATOR"	"1950"	"GreatBritain"	NA	"Dept3028"	"Faculty31"	""	"DurationLT0"	1	0	10	8	8	9
53	"RFCD380107"	65	"SEO730106"	25	30457	"CHIEF_INVESTIGATOR"	"1955"	"AsiaPacific"	NA	"Dept2558"	"Faculty25"	""	"DurationLT0"	0	0	0	0	2	1
54	"RFCD270403"	50	"SEO620105"	100	79802	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	NA	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	1	0	1	8	9	5
55	"RFCD321015"	100	"SEO730108"	100	10577	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	0	1	3	4	3	1
56	"RFCD270708"	100	"SEO770603"	100	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	1	5	16	21	24	6
57	"RFCD320700"	50	"SEO730199"	50	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
58	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
59	"RFCD330103"	100	"SEO749905"	100	82377	"CHIEF_INVESTIGATOR"	"1950"	"NewZealand"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationGT15"	0	0	1	0	1	3
60	"RFCD321015"	100	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
61	"RFCD270106"	30	"SEO730108"	80	46237	"CHIEF_INVESTIGATOR"	"1945"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	1	2	1
62	"RFCD210000"	50	"SEO730211"	30	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
63	"RFCD270105"	33	"SEO630101"	50	9227	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"Duration0to5"	0	3	0	2	3	3
64	"RFCD270108"	70	"SEO730108"	100	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	5	4	3	1	0
65	NA	NA	NA	NA	69147	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"Duration5to10"	0	1	1	1	0	2
66	"RFCD240204"	40	"SEO671299"	30	15187	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3198"	"Faculty31"	"Yes "	"Duration10to15"	0	1	4	17	0	3
67	NA	NA	NA	NA	43882	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration0to5"	0	5	3	4	2	1
68	"RFCD321206"	100	"SEO730213"	100	30017	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2893"	"Faculty25"	""	"Duration0to5"	0	0	0	7	9	3
69	"RFCD320405"	80	"SEO730101"	80	1217	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	"English"	"Dept3028"	"Faculty31"	"Yes "	"DurationGT15"	2	0	16	13	8	0
70	"RFCD250200"	100	"SEO780103"	100	489582	"CHIEF_INVESTIGATOR"	"1975"	"GreatBritain"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	0	1	11	1	2	0
71	"RFCD321202"	50	"SEO730213"	50	76352	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration10to15"	1	0	4	4	0	0
72	"RFCD360299"	60	"SEO750699"	60	81067	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept3508"	"Faculty4"	""	"DurationGT15"	1	1	1	5	0	2
73	"RFCD321004"	50	"SEO730105"	100	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	1	0	10	19	7	6
74	"RFCD320502"	100	"SEO730106"	100	66657	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2668"	"Faculty25"	""	"DurationLT0"	0	0	10	4	2	0
75	"RFCD300105"	50	"SEO770502"	100	66902	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept1033"	"Faculty1"	""	"DurationLT0"	1	0	0	0	1	0
76	"RFCD270103"	70	"SEO730108"	100	79057	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration5to10"	1	0	2	2	1	0
77	"RFCD321216"	50	"SEO730207"	60	22972	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	0	1	0	2	1	3
78	"RFCD321021"	100	"SEO730211"	100	4222	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2768"	"Faculty25"	""	"Duration10to15"	0	2	9	11	4	2
79	"RFCD321004"	100	"SEO730204"	100	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration5to10"	2	7	0	8	4	0
80	"RFCD279901"	100	"SEO770101"	100	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	1	5	16	21	24	6
81	"RFCD321004"	60	"SEO730105"	60	5967	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration5to10"	0	1	0	3	5	2
82	"RFCD321015"	40	"SEO730108"	40	76352	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration10to15"	1	0	4	4	0	0
83	"RFCD320305"	50	"SEO730101"	75	74302	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration10to15"	2	1	1	1	1	0
84	"RFCD321208"	45	"SEO730211"	45	131257	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2923"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0
85	"RFCD290104"	40	"SEO670105"	60	56387	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept3268"	"Faculty31"	"Yes "	"Duration0to5"	1	1	0	1	0	0
86	"RFCD321021"	20	"SEO750101"	40	39632	"CHIEF_INVESTIGATOR"	"1975"	"GreatBritain"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	0	2	0	0	1	3
87	"RFCD300204"	100	"SEO750704"	70	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	1	5	16	21	24	6
88	"RFCD270804"	40	"SEO780105"	60	8012	"CHIEF_INVESTIGATOR"	"1960"	"WesternEurope"	NA	"Dept1098"	"Faculty1"	"Yes "	"Duration5to10"	1	1	0	0	0	1
89	"RFCD321006"	60	"SEO730113"	60	71867	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration10to15"	3	1	7	19	26	13
90	NA	NA	NA	NA	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
91	"RFCD320202"	60	"SEO730102"	100	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
92	"RFCD321204"	10	"SEO730207"	25	8772	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	""	"DurationLT0"	3	2	3	6	3	1
93	"RFCD290801"	60	"SEO680202"	50	73017	"CHIEF_INVESTIGATOR"	"1960"	"TheAmericas"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration10to15"	0	2	4	1	3	3
94	"RFCD291104"	40	"SEO770502"	100	125287	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration0to5"	0	2	0	0	0	0
95	"RFCD270199"	100	"SEO730108"	100	497907	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"DurationLT0"	0	0	3	1	1	0
96	"RFCD320302"	100	"SEO730101"	50	1687	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration10to15"	1	0	7	10	3	1
97	"RFCD230204"	50	"SEO730201"	100	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
98	"RFCD270699"	50	"SEO730217"	100	132232	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	0	0	0	1	0
99	"RFCD360101"	60	"SEO750602"	60	28682	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept828"	"Faculty7"	"Yes "	"Duration0to5"	1	0	0	1	1	2
100	"RFCD380103"	35	"SEO780107"	50	67622	"CHIEF_INVESTIGATOR"	"1945"	"NorthAmerica"	NA	"Dept803"	"Faculty7"	"Yes "	"DurationGT15"	0	1	0	0	0	0
101	"RFCD280100"	40	"SEO700103"	100	115417	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"OtherLang"	"Dept2253"	"Faculty19"	"Yes "	"Duration0to5"	0	1	0	4	4	0
102	"RFCD321005"	100	"SEO730116"	100	19362	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2893"	"Faculty25"	""	"Duration0to5"	0	1	0	2	3	0
103	"RFCD390301"	50	"SEO750503"	80	73737	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept828"	"Faculty7"	""	"DurationLT0"	0	0	0	3	3	1
104	"RFCD320899"	100	"SEO730214"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
105	"RFCD350301"	50	"SEO710401"	100	69952	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1578"	"Faculty13"	"Yes "	"Duration10to15"	0	0	2	8	6	0
106	"RFCD321006"	100	"SEO730108"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
107	"RFCD320503"	100	"SEO730199"	100	74932	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration10to15"	0	0	2	3	6	0
108	"RFCD300399"	100	"SEO770503"	100	26857	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1033"	"Faculty1"	""	"DurationLT0"	0	1	0	0	0	0
109	"RFCD320702"	100	"SEO730104"	80	79427	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	"Dept2498"	"Faculty25"	""	"DurationLT0"	0	1	1	1	1	3
110	"RFCD270106"	100	"SEO730108"	100	730092	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2653"	"Faculty25"	""	"DurationLT0"	1	0	1	0	0	0
111	"RFCD290102"	50	"SEO670105"	50	7947	"CHIEF_INVESTIGATOR"	"1960"	"AsiaPacific"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration5to10"	0	0	9	4	2	2
112	"RFCD270103"	25	"SEO730108"	100	38697	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2778"	"Faculty25"	""	"DurationUnk"	0	1	3	3	0	0
113	"RFCD321003"	50	"SEO730105"	50	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
114	"RFCD270208"	100	"SEO780105"	100	34737	"CHIEF_INVESTIGATOR"	"1970"	"NorthAmerica"	NA	"Dept2603"	"Faculty25"	"Yes "	"DurationLT0"	1	5	1	6	6	1
115	"RFCD321015"	80	"SEO730108"	100	27757	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	2	0	8	5	4	0
116	"RFCD340207"	60	"SEO720299"	100	712	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept1678"	"Faculty13"	"Yes "	"Duration0to5"	0	0	0	2	4	0
117	"RFCD321202"	50	"SEO730299"	40	726602	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept2523"	"Faculty25"	""	"DurationLT0"	1	0	0	0	0	0
118	"RFCD260107"	100	"SEO780104"	100	80187	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept3123"	"Faculty31"	""	"DurationLT0"	0	1	2	6	9	2
119	"RFCD321004"	50	"SEO730114"	50	84627	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2973"	"Faculty25"	"Yes "	"Duration0to5"	0	1	8	5	0	3
120	"RFCD320702"	100	"SEO780105"	100	73882	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	1	1	4	3	2	1
121	"RFCD270106"	80	"SEO730105"	100	118747	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"Duration0to5"	0	2	0	0	0	0
122	"RFCD270504"	100	"SEO620204"	100	85642	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"Duration0to5"	1	5	16	21	24	6
123	"RFCD320403"	100	"SEO730101"	50	69262	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2653"	"Faculty25"	"Yes "	"Duration10to15"	1	0	7	5	7	7
124	"RFCD270199"	100	"SEO780105"	50	80377	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"DurationGT15"	3	1	4	4	6	1
125	"RFCD321208"	100	"SEO730219"	100	18377	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2923"	"Faculty25"	"Yes "	"Duration5to10"	1	0	1	0	6	0
126	"RFCD321015"	100	"SEO730108"	100	148087	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	2	2	1	0	0
127	NA	NA	NA	NA	48892	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept3028"	"Faculty31"	""	"DurationLT0"	0	1	0	0	0	0
128	"RFCD320705"	40	"SEO730111"	50	67282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	2	4	3	4	3
129	"RFCD320405"	70	"SEO730101"	40	77112	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	1	1	12	10	5	0
130	"RFCD320207"	100	"SEO730102"	100	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
131	"RFCD310101"	100	"SEO680299"	100	22792	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3508"	"Faculty4"	"Yes "	"Duration5to10"	0	2	0	2	0	1
132	"RFCD260602"	60	"SEO770101"	60	612	"DELEGATED_RESEARCHER"	"1960"	"Australia"	NA	"Dept3123"	"Faculty31"	"Yes "	"Duration10to15"	0	1	7	1	2	0
133	"RFCD320202"	100	"SEO780105"	100	12957	"CHIEF_INVESTIGATOR"	"1965"	"GreatBritain"	NA	"Dept2603"	"Faculty25"	"Yes "	"Duration5to10"	1	6	10	6	8	1
134	"RFCD320701"	100	"SEO730106"	50	78752	"CHIEF_INVESTIGATOR"	"1955"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration10to15"	1	1	6	5	2	0
135	"RFCD310103"	60	"SEO690499"	60	81067	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept3508"	"Faculty4"	""	"DurationGT15"	1	1	1	5	0	2
136	"RFCD321015"	100	"SEO730108"	100	148087	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	2	2	1	0	0
137	"RFCD380103"	45	"SEO730213"	60	26107	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration5to10"	1	1	1	4	4	0
138	"RFCD290801"	100	"SEO680503"	100	73017	"CHIEF_INVESTIGATOR"	"1960"	"TheAmericas"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration10to15"	0	2	4	1	3	3
